,player_id,name,team_id,team_name,sub_position,foot,height_in_cm,opponent_team_name,opponent_team,total_points,was_home,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
4,5.0,Gabriel dos Santos Magalhães,1.0,Arsenal,Centre-Back,left,190.0,Forest,16.0,1.0,True,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.02
5,6.0,Kai Havertz,1.0,Arsenal,Attacking Midfield,left,193.0,Forest,16.0,2.0,True,2.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.4,30.3,15.0,5.5,1.0,0.05,0.24,0.29,1.18
7,8.0,Gabriel Fernando de Jesus,1.0,Arsenal,Centre-Forward,right,175.0,Forest,16.0,0.0,True,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
9,10.0,Jakub Kiwior,1.0,Arsenal,Centre-Back,left,189.0,Forest,16.0,0.0,True,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
11,12.0,Gabriel Martinelli Silva,1.0,Arsenal,Left Winger,right,178.0,Forest,16.0,5.0,True,2.0,1.0,1.0,85.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.4,42.5,8.0,7.6,1.0,0.00,0.22,0.22,1.16
12,13.0,Eddie Nketiah,1.0,Arsenal,Centre-Forward,right,175.0,Forest,16.0,8.0,True,2.0,1.0,1.0,72.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,30.2,5.9,36.0,7.2,1.0,0.21,0.01,0.22,0.30
13,14.0,Martin Ødegaard,1.0,Arsenal,Attacking Midfield,left,178.0,Forest,16.0,2.0,True,2.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,23.4,14.0,4.9,1.0,0.11,0.09,0.20,1.18
18,19.0,Bukayo Saka,1.0,Arsenal,Right Winger,left,178.0,Forest,16.0,10.0,True,2.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,53.8,46.2,39.0,13.9,1.0,0.19,0.17,0.36,1.18
19,20.0,William Saliba,1.0,Arsenal,Centre-Back,right,192.0,Forest,16.0,5.0,True,2.0,1.0,1.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,33.6,13.6,2.0,4.9,1.0,0.00,0.03,0.03,1.18
25,26.0,Leandro Trossard,1.0,Arsenal,Left Winger,right,172.0,Forest,16.0,1.0,True,2.0,1.0,1.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.4,10.8,0.0,1.6,0.0,0.00,0.01,0.01,0.88
28,29.0,Benjamin White,1.0,Arsenal,Right-Back,right,186.0,Forest,16.0,1.0,True,2.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,10.8,7.3,2.0,2.0,1.0,0.00,0.03,0.03,1.18
30,31.0,Oleksandr Zinchenko,1.0,Arsenal,Left-Back,left,175.0,Forest,16.0,0.0,True,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
112,113.0,David Raya Martin,1.0,Arsenal,Goalkeeper,right,183.0,Spurs,18.0,0.0,True,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
539,540.0,Declan Rice,1.0,Arsenal,Defensive Midfield,right,188.0,Forest,16.0,2.0,True,2.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.6,4.6,31.0,5.7,1.0,0.25,0.03,0.28,1.18
33,34.0,Leon Bailey,2.0,Villa,Left Winger,left,178.0,Newcastle,15.0,1.0,False,5.0,1.0,1.0,45.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.2,3.8,0.0,0.4,1.0,0.00,0.01,0.01,1.24
35,36.0,Matty Cash,2.0,Villa,Right-Back,right,185.0,Newcastle,15.0,-1.0,False,5.0,1.0,1.0,86.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.8,1.8,11.0,1.7,1.0,0.74,0.00,0.74,2.80
41,42.0,Lucas Digne,2.0,Villa,Left-Back,left,178.0,Newcastle,15.0,-1.0,False,5.0,1.0,1.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.2,45.2,2.0,6.0,1.0,0.00,0.15,0.15,3.44
42,43.0,Douglas Luiz Soares de Paulo,2.0,Villa,Central Midfield,right,177.0,Newcastle,15.0,1.0,False,5.0,1.0,1.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,9.4,22.3,19.0,5.1,1.0,0.19,0.15,0.34,3.44
47,48.0,Ezri Konsa Ngoyo,2.0,Villa,Centre-Back,right,183.0,Newcastle,15.0,0.0,False,5.0,1.0,1.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.2,1.3,0.0,1.5,1.0,0.00,0.01,0.01,3.44
48,49.0,Emiliano Martínez Romero,2.0,Villa,Goalkeeper,right,195.0,Newcastle,15.0,1.0,False,5.0,1.0,1.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,18.0,45.6,0.0,0.0,4.6,1.0,0.00,0.00,0.00,3.44
49,50.0,John McGinn,2.0,Villa,Central Midfield,left,178.0,Newcastle,15.0,2.0,False,5.0,1.0,1.0,63.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.8,18.1,0.0,1.9,1.0,0.00,0.03,0.03,1.80
57,58.0,Youri Tielemans,2.0,Villa,Central Midfield,right,177.0,Newcastle,15.0,1.0,False,5.0,1.0,1.0,45.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.4,13.3,2.0,1.9,0.0,0.00,0.09,0.09,2.20
59,60.0,Ollie Watkins,2.0,Villa,Centre-Forward,right,180.0,Newcastle,15.0,5.0,False,5.0,1.0,1.0,90.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,32.2,23.4,29.0,8.5,1.0,0.23,0.10,0.33,3.44
583,584.0,Pau Torres,2.0,Villa,Centre-Back,left,192.0,Newcastle,15.0,0.0,False,5.0,1.0,1.0,59.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.2,12.6,0.0,3.1,0.0,0.00,0.02,0.02,2.36
598,599.0,Moussa Diaby,2.0,Villa,Right Winger,left,171.0,Newcastle,15.0,7.0,False,5.0,1.0,1.0,86.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,42.6,23.1,40.0,10.6,1.0,0.36,0.11,0.47,2.80
62,63.0,Philip Billing,3.0,Bournemouth,Central Midfield,left,193.0,West Ham,19.0,2.0,True,1.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.2,17.1,14.0,4.7,1.0,0.07,0.06,0.13,1.07
